,article_title,abstract_text,authors,author_profile,views,cross_ref,keywords,jel_codes,page_range,published_online,issue,year,volume,special issue,abstract,keys,jel,jel1,page,first_article,double_issue
36,Exploring the Linkages Between Women’s Paid and Unpaid Work and Their Experiences of Intimate Partner and Non-Partner Violence in Nepal,"Economic bargaining models contend that women’s paid work reduces violence experienced due to increased bargaining power, while male backlash models argue that violence is likely to increase as the traditional male breadwinner role is threatened. The empirical linkages between women working for pay and experiencing men’s violence are also mixed. This study examines the association between women’s paid work participation and their experiences of intimate partner violence (IPV) and non-partner violence (NPV). It uses multivariate probit regressions to analyze survey data from 937 randomly selected women members of cooperative societies spanning the seven districts of Nepal. The paper hypothesizes that in a traditional setting like Nepal, working women are more likely to experience increased violence as they transgress traditional gender roles. Results suggest that employed women experience both IPV and NPV. Investments in longitudinal studies are needed to understand the point at which economic empowerment yields reversals in violence experienced.",['Neetu A. John'],['/author/john%2c+neetu+a'],531,0,"'women’s work', 'paid employment', 'violence', 'bargaining models', 'male backlash', 'nepal'","['C70', 'D10']",Pages 89-113,15 Dec 2020,4,2020,26,,"Economic bargaining models contend that women’s paid work reduces violence experienced due to increased bargaining power, while male backlash models argue that violence is likely to increase as the traditional male breadwinner role is threatened. The empirical linkages between women working for pay and experiencing men’s violence are also mixed. This study examines the association between women’s paid work participation and their experiences of intimate partner violence (IPV) and non-partner violence (NPV). It uses multivariate probit regressions to analyze survey data from 937 randomly selected women members of cooperative societies spanning the seven districts of Nepal. The paper hypothesizes that in a traditional setting like Nepal, working women are more likely to experience increased violence as they transgress traditional gender roles. Results suggest that employed women experience both IPV and NPV. Investments in longitudinal studies are needed to understand the point at which economic empowerment yields reversals in violence experienced.","['woman work', 'paid employment', 'violence', 'bargaining model', 'male backlash', 'nepal']",,"c70,d10",89-113,0,0
37,Social Norms and Gender Differences in Labor Force Participation in China,"Since China’s transition to a socialist market system, women’s labor force participation has declined sharply. Using data from the Chinese General Social Survey (CGSS) 2010, the authors re-examine China’s gender gap in labor force participation with a focus on social norms. Probit model estimates of the gender gap in labor force participation probability confirm the contribution of conventional factors such as health and other human capital as important explanations for the resurgent gender gap in China. However, even after extensive controls for human-capital differences, the gap remains mostly unexplained in the data. The Blinder–Oaxaca decomposition analysis confirms that the gender gap in labor force participation is predominantly explained by behavioral differences between women and men. Gender-related community social norms account for 41.4 percent of the unexplained gap. The study results are robust to alternative measures of social norms and additional controls for community characteristics.","['Saizi Xiao', 'M. Niaz Asadullah']","['/author/xiao%2c+saizi', '/author/asadullah%2c+m+niaz']",1712,8,"'gender inequality', 'social norms', 'health capital', 'china'","['I14', 'J16', 'J22']",Pages 114-148,10 Jul 2020,4,2020,26,,"Since China’s transition to a socialist market system, women’s labor force participation has declined sharply. Using data from the Chinese General Social Survey (CGSS) 2010, the authors re-examine China’s gender gap in labor force participation with a focus on social norms. Probit model estimates of the gender gap in labor force participation probability confirm the contribution of conventional factors such as health and other human capital as important explanations for the resurgent gender gap in China. However, even after extensive controls for human-capital differences, the gap remains mostly unexplained in the data. The Blinder–Oaxaca decomposition analysis confirms that the gender gap in labor force participation is predominantly explained by behavioral differences between women and men. Gender-related community social norms account for 41.4 percent of the unexplained gap. The study results are robust to alternative measures of social norms and additional controls for community characteristics.","['gender inequality', 'social norm', 'health capital', 'china']",,"i14,j16,j22",114-148,0,0
38,Comparing Labor Market Trajectories of Refugee Women to Other Immigrant and Native-Born Women in the United States,"Even as the world has witnessed an unprecedented number of displaced individuals, resettlement of refugees has been met with fears about their ability to integrate into host economies. Such fears are compounded by the limited information on the long-term economic outcomes of resettlement. This study uses American Community Survey data to explore the labor market integration of refugee women resettled in the United States over the period 2002–16. It finds that, over time, refugee women tend to surpass the labor force participation (LFP) rates of native-born and other immigrant women in the US even after controlling for individual characteristics like level of education, English proficiency, and home country LFP. This indicates that refugee women are able to adapt and make positive contributions to the host labor market and strengthens the case for expanded refugee-resettlement programs in developed economies.",['Ramya Vijaya'],['/author/vijaya%2c+ramya'],651,3,"'refugees', 'women', 'women’s labor force participation'","['B54', 'F22', 'J15']",Pages 149-177,27 May 2020,4,2020,26,,"Even as the world has witnessed an unprecedented number of displaced individuals, resettlement of refugees has been met with fears about their ability to integrate into host economies. Such fears are compounded by the limited information on the long-term economic outcomes of resettlement. This study uses American Community Survey data to explore the labor market integration of refugee women resettled in the United States over the period 2002–16. It finds that, over time, refugee women tend to surpass the labor force participation (LFP) rates of native-born and other immigrant women in the US even after controlling for individual characteristics like level of education, English proficiency, and home country LFP. This indicates that refugee women are able to adapt and make positive contributions to the host labor market and strengthens the case for expanded refugee-resettlement programs in developed economies.","['refugee', 'woman', 'woman labor force participation']",,"b54,f22,j15",149-177,0,0
39,Effect of Group and Leader Attributes on Men and Women Farmers’ Participation in Group Activities in Zambia,"Since development agencies often implement interventions through collective-action groups such as farmer cooperatives and self-help groups, there is a need to understand how participation is affected by group-level and leader attributes. This study collected gender-disaggregated, quantitative and qualitative data on sixty-eight self-help groups in Zambia to understand the participation of men and women farmers in different crop-production activities. Results show that participation rates of men and women are the same across all maize production activities except harvesting. The gender composition of members influenced men’s and women’s participation in group activities: when men were fewer in a group, they (men) participated more, while when more women were in a group (above 53 percent), the women participated less. Leader’s education level, knowledge of group agenda, and frequency of meetings also affected participation rates. To design collective action groups that promote gender equity outcomes, gender composition of groups should be considered.","['Kelvin Mulungu', 'Netsayi Noris Mudege']","['/author/mulungu%2c+kelvin', '/author/mudege%2c+netsayi+noris']",323,5,"'gender', 'group participation', 'gender composition', 'group identity', 'zambia'","['B23', 'J16']",Pages 178-204,14 Aug 2020,4,2020,26,,"Since development agencies often implement interventions through collective-action groups such as farmer cooperatives and self-help groups, there is a need to understand how participation is affected by group-level and leader attributes. This study collected gender-disaggregated, quantitative and qualitative data on sixty-eight self-help groups in Zambia to understand the participation of men and women farmers in different crop-production activities. Results show that participation rates of men and women are the same across all maize production activities except harvesting. The gender composition of members influenced men’s and women’s participation in group activities: when men were fewer in a group, they (men) participated more, while when more women were in a group (above 53 percent), the women participated less. Leader’s education level, knowledge of group agenda, and frequency of meetings also affected participation rates. To design collective action groups that promote gender equity outcomes, gender composition of groups should be considered.","['gender', 'group participation', 'gender composition', 'group identity', 'zambia']",,"b23,j16",178-204,0,0
40,Short- and Medium-Term Effects of Informal Eldercare on Labor Market Outcomes,"Informal caregivers, often family members, provide valuable services to elderly persons with long-term care needs. However, the time commitment of caregiving often competes against time spent in the labor force. In addition to the momentary trade-off, long-term consequences are possible since older workers in particular might find it difficult to reenter the labor market after a period of caregiving. While several studies document a negative relationship between caregiving and paid work, little is known about whether this effect persists over time. Analyzing a large panel data set of fifteen European countries and Israel, this study shows that care provision for an elderly parent has negative effects on employment rates and paid working hours for both men and women. While men are more likely to drop out of the labor force, especially in response to continuous caregiving, women, on average, also reduce their paid working hours.","['Dörte Heger', 'Thorben Korfhage']","['/author/heger%2c+d%c3%b6rte', '/author/korfhage%2c+thorben']",1790,7,"'long-term care', 'informal care', 'labor market outcomes', 'short- and medium-term effects'","['J14', 'J22']",Pages 205-227,24 Aug 2020,4,2020,26,,"Informal caregivers, often family members, provide valuable services to elderly persons with long-term care needs. However, the time commitment of caregiving often competes against time spent in the labor force. In addition to the momentary trade-off, long-term consequences are possible since older workers in particular might find it difficult to reenter the labor market after a period of caregiving. While several studies document a negative relationship between caregiving and paid work, little is known about whether this effect persists over time. Analyzing a large panel data set of fifteen European countries and Israel, this study shows that care provision for an elderly parent has negative effects on employment rates and paid working hours for both men and women. While men are more likely to drop out of the labor force, especially in response to continuous caregiving, women, on average, also reduce their paid working hours.","['long-term care', 'informal care', 'labor market outcome', 'short- medium-term effect']",,"j14,j22",205-227,0,0
41,The Labor Productivity Gap between Formal Businesses Run by Women and Men,"This study analyzes gender differences in labor productivity in the formal private sector, using data from 126 mostly developing economies. The results reveal a sizable unconditional gap, with labor productivity being approximately 11 percent lower among women- than men-managed firms. The analyses are based on women’s management, which is more strongly associated with labor productivity than women’s participation in ownership, which has been the focus of most previous studies. Decomposition techniques reveal several factors that contribute to lower labor productivity of women-managed firms relative to firms managed by men: Fewer women-managed firms protect themselves from crime and power outages, have their own websites, and are (co-)owned by foreigners. In addition, in the manufacturing sector, women-managed firms are less capitalized and have lower labor costs than firms managed by men.","['Asif M. Islam', 'Isis Gaddis', 'Amparo Palacios López', 'Mohammad Amin']","['/author/islam%2c+asif+m', '/author/gaddis%2c+isis', '/author/palacios+l%c3%b3pez%2c+amparo', '/author/amin%2c+mohammad']",792,14,"'firms', 'women entrepreneurs', 'decomposition', 'manufacturing industry', 'productivity', 'services'","['J16', 'L26', 'D21']",Pages 228-258,20 Sep 2020,4,2020,26,,"This study analyzes gender differences in labor productivity in the formal private sector, using data from 126 mostly developing economies. The results reveal a sizable unconditional gap, with labor productivity being approximately 11 percent lower among women- than men-managed firms. The analyses are based on women’s management, which is more strongly associated with labor productivity than women’s participation in ownership, which has been the focus of most previous studies. Decomposition techniques reveal several factors that contribute to lower labor productivity of women-managed firms relative to firms managed by men: Fewer women-managed firms protect themselves from crime and power outages, have their own websites, and are (co-)owned by foreigners. In addition, in the manufacturing sector, women-managed firms are less capitalized and have lower labor costs than firms managed by men.","['firm', 'woman entrepreneur', 'decomposition', 'manufacturing industry', 'productivity', 'service']",,"j16,l26,d21",228-258,0,0
42,Women’s Bargaining Power and Children’s Schooling Outcomes: Evidence From Ghana,"This study uses data from the Ghana Living Standards Survey to examine the link between women’s bargaining power and children’s schooling outcomes. It employs a principal component analysis to generate an index measuring women’s bargaining power based on a couples’ education gap and age gap when their child reaches age 6. It then uses women’s age at first marriage as an instrument to identify women’s bargaining power. The results show that women’s bargaining power holds no significant association with late school enrollment. However, it has a negative and significant association with the probability and intensity of grade repetition (the number of times the same grade is repeated), especially for firstborn children. Girls tend to benefit more from the mother’s bargaining power compared to boys. The study further shows that women’s bargaining power is linked with school enrollment and attainment, which confirms previous findings in the literature.","['Clifford Afoakwah', 'Xin Deng', 'Ilke Onur']","['/author/afoakwah%2c+clifford', '/author/deng%2c+xin', '/author/onur%2c+ilke']",897,9,"'women’s bargaining power', 'late enrollment', 'grade repetition', 'intensity of grade repetition', 'ghana'","['D13', 'I2']",Pages 1-29,20 Feb 2020,3,2020,26,,"This study uses data from the Ghana Living Standards Survey to examine the link between women’s bargaining power and children’s schooling outcomes. It employs a principal component analysis to generate an index measuring women’s bargaining power based on a couples’ education gap and age gap when their child reaches age 6. It then uses women’s age at first marriage as an instrument to identify women’s bargaining power. The results show that women’s bargaining power holds no significant association with late school enrollment. However, it has a negative and significant association with the probability and intensity of grade repetition (the number of times the same grade is repeated), especially for firstborn children. Girls tend to benefit more from the mother’s bargaining power compared to boys. The study further shows that women’s bargaining power is linked with school enrollment and attainment, which confirms previous findings in the literature.","['woman bargaining power', 'late enrollment', 'grade repetition', 'intensity grade repetition', 'ghana']",,"d13,i2",1-29,1,0
43,The Impact of Paid Parental Leave on Labor Supply and Employment Outcomes in Australia,"The introduction of the Australian Paid Parental Leave scheme in 2011 provides a rare opportunity to estimate the impacts of publicly funded paid leave on mothers in the first year postpartum. The almost universal coverage of the scheme, coupled with detailed survey data collected specifically for the scheme’s evaluation, means that eligibility for paid leave under the scheme can be plausibly taken as exogenous, following a standard propensity score-matching exercise. Consistent with much of the existing literature, the study finds a positive impact on mothers’ taking leave in the first half year and on mothers’ probability of returning to work in the first year. The paper provides new evidence of a positive impact on continuing in the same job under the same conditions, where previous conclusions have been mixed. Further, it shows that disadvantaged mothers – low income, less educated, without access to employer-funded leave – respond most.","['Barbara Broadway', 'Guyonne Kalb', 'Duncan McVicar', 'Bill Martin']","['/author/broadway%2c+barbara', '/author/kalb%2c+guyonne', '/author/mcvicar%2c+duncan', '/author/martin%2c+bill']",1144,2,"'labor supply', 'parental leave', 'australia'",[],Pages 30-65,02 Apr 2020,3,2020,26,,"The introduction of the Australian Paid Parental Leave scheme in 2011 provides a rare opportunity to estimate the impacts of publicly funded paid leave on mothers in the first year postpartum. The almost universal coverage of the scheme, coupled with detailed survey data collected specifically for the scheme’s evaluation, means that eligibility for paid leave under the scheme can be plausibly taken as exogenous, following a standard propensity score-matching exercise. Consistent with much of the existing literature, the study finds a positive impact on mothers’ taking leave in the first half year and on mothers’ probability of returning to work in the first year. The paper provides new evidence of a positive impact on continuing in the same job under the same conditions, where previous conclusions have been mixed. Further, it shows that disadvantaged mothers – low income, less educated, without access to employer-funded leave – respond most.","['labor supply', 'parental leave', 'australia']",,,30-65,0,0
44,Gender and Asset Ownership in the Old and New Lands of Egypt,"The Middle East and North Africa region has the lowest level of women’s land ownership in the world, yet little research has explored the barriers and opportunities women face in land ownership in the region. This paper identifies patterns, opportunities, and constraints of ownership of land and other assets (houses, livestock, poultry, and gold) by women and men in the Old and New Lands of Egypt. Based on a survey complemented with qualitative interviews, the study finds that both women and men viewed land and houses as the most economically and socially important assets, but they differed in what assets they considered to be valuable for women. The findings highlight the importance of implementing policies that optimize women’s property ownership, even if they own non-land assets. The study concludes that while legal and economic interventions aid in accomplishing gender-equity goals, consciousness-raising initiatives are as crucial as pro-women policy reforms.","['Dina Najjar', 'Bipasha Baruah', 'Aman El Garhi']","['/author/najjar%2c+dina', '/author/baruah%2c+bipasha', '/author/el+garhi%2c+aman']",1143,5,"'gender', 'assets', 'perceptions', 'access', 'control', 'egypt'","['D1', 'B54', 'K11']",Pages 119-143,21 Apr 2020,3,2020,26,,"The Middle East and North Africa region has the lowest level of women’s land ownership in the world, yet little research has explored the barriers and opportunities women face in land ownership in the region. This paper identifies patterns, opportunities, and constraints of ownership of land and other assets (houses, livestock, poultry, and gold) by women and men in the Old and New Lands of Egypt. Based on a survey complemented with qualitative interviews, the study finds that both women and men viewed land and houses as the most economically and socially important assets, but they differed in what assets they considered to be valuable for women. The findings highlight the importance of implementing policies that optimize women’s property ownership, even if they own non-land assets. The study concludes that while legal and economic interventions aid in accomplishing gender-equity goals, consciousness-raising initiatives are as crucial as pro-women policy reforms.","['gender', 'asset', 'perception', 'access', 'control', 'egypt']",,"d1,b54,k11",119-143,0,0
45,"Measuring Ownership, Control, and Use of Assets","Assets generate and help diversify income, alleviate liquidity constraints, and are key inputs into empowerment. Despite the importance of individual-level data on asset ownership, and the fact that most assets are owned by individuals, either solely or jointly, researchers typically collect micro data on asset ownership at the household level. Through a review of the existing approaches to data collection and the relevant literature on survey methodology, this study presents an overview of the current best practices for collecting individual-level data on the ownership and control of assets in household and farm surveys in low- and middle-income countries. The paper provides recommendations in three areas: (1) respondent selection, (2) definition and measurement of access to and ownership and control of assets, and (3) measurement of quantity, value, and quality of assets. It identifies open methodological questions that can be answered through further research.","['Cheryl Doss', 'Caitlin Kieran', 'Talip Kilic']","['/author/doss%2c+cheryl', '/author/kieran%2c+caitlin', '/author/kilic%2c+talip']",884,17,"'gender', 'asset ownership', 'wealth', 'survey methodology', 'household surveys'","['C8', 'D31', 'J16']",Pages 144-168,19 Dec 2019,3,2020,26,,"Assets generate and help diversify income, alleviate liquidity constraints, and are key inputs into empowerment. Despite the importance of individual-level data on asset ownership, and the fact that most assets are owned by individuals, either solely or jointly, researchers typically collect micro data on asset ownership at the household level. Through a review of the existing approaches to data collection and the relevant literature on survey methodology, this study presents an overview of the current best practices for collecting individual-level data on the ownership and control of assets in household and farm surveys in low- and middle-income countries. The paper provides recommendations in three areas: (1) respondent selection, (2) definition and measurement of access to and ownership and control of assets, and (3) measurement of quantity, value, and quality of assets. It identifies open methodological questions that can be answered through further research.","['gender', 'asset ownership', 'wealth', 'survey methodology', 'household survey']",,"c8,d31,j16",144-168,0,0
46,Measuring Time Use in Developing Country Agriculture: Evidence from Bangladesh and Uganda,"This paper discusses the challenges associated with implementing time-use surveys among agricultural households in developing countries and offers advice on best practices for two common measurement methods: stylized questions and time diaries. Using data from Women’s Empowerment in Agriculture Index (WEAI) surveys in Bangladesh and Uganda, it finds that stylized questions do not always produce shorter interviews compared to time diaries, and recall accuracy may depend on the regularity and saliency of the activity and enumerator abilities. The paper suggests that combining promising methodological innovations from other disciplines with mainstream time-use data collection methods would allow capture of both the quantity and quality of time and provide richer insights into gendered time-use patterns. Broadening the scope of time-use research to other aspects of well-being can help identify how time constraints contribute to gender inequality and inform the design of policies and interventions to relieve those constraints.","['Greg Seymour', 'Hazel Malapit', 'Agnes Quisumbing']","['/author/seymour%2c+greg', '/author/malapit%2c+hazel', '/author/quisumbing%2c+agnes']",3758,15,"'time use', 'recall error', 'measurement error'","['C81', 'J22', 'Q12']",Pages 169-199,30 Jun 2020,3,2020,26,,"This paper discusses the challenges associated with implementing time-use surveys among agricultural households in developing countries and offers advice on best practices for two common measurement methods: stylized questions and time diaries. Using data from Women’s Empowerment in Agriculture Index (WEAI) surveys in Bangladesh and Uganda, it finds that stylized questions do not always produce shorter interviews compared to time diaries, and recall accuracy may depend on the regularity and saliency of the activity and enumerator abilities. The paper suggests that combining promising methodological innovations from other disciplines with mainstream time-use data collection methods would allow capture of both the quantity and quality of time and provide richer insights into gendered time-use patterns. Broadening the scope of time-use research to other aspects of well-being can help identify how time constraints contribute to gender inequality and inform the design of policies and interventions to relieve those constraints.","['time use', 'recall error', 'measurement error']",,"c81,j22,q12",169-199,0,0
47,Measuring Women’s Agency,"Improving women’s agency, namely their ability to define goals and act on them, is crucial for advancing gender equality and the empowerment of women. Yet, existing frameworks for measuring women’s agency – both disorganized and partial – provide a fragmented understanding of the constraints women face in exercising their agency, thus restricting the design of reliable and valid interventions and evaluation of their impact. This paper proposes a multidisciplinary framework for capturing individual agency, containing three critical dimensions: goal setting, perceived control and ability to initiate action toward goals (“sense of agency”), and acting on goals. For each dimension, the paper reviews existing measurement approaches and what is known about their relative quality. The study concludes by highlighting that future research to improve the measurement of women’s agency should prioritize incorporating different contexts, age groups, and decision-making areas to ensure programming and policies are meaningful to the lives of women.","['Aletheia Donald', 'Gayatri Koolwal', 'Jeannie Annan', 'Kathryn Falb', 'Markus Goldstein']","['/author/donald%2c+aletheia', '/author/koolwal%2c+gayatri', '/author/annan%2c+jeannie', '/author/falb%2c+kathryn', '/author/goldstein%2c+markus']",1727,20,"'gender', 'households', 'survey methodology', 'measurement error', 'agency', 'empowerment'","['C8', 'J16', 'I32']",Pages 200-226,14 Jan 2020,3,2020,26,,"Improving women’s agency, namely their ability to define goals and act on them, is crucial for advancing gender equality and the empowerment of women. Yet, existing frameworks for measuring women’s agency – both disorganized and partial – provide a fragmented understanding of the constraints women face in exercising their agency, thus restricting the design of reliable and valid interventions and evaluation of their impact. This paper proposes a multidisciplinary framework for capturing individual agency, containing three critical dimensions: goal setting, perceived control and ability to initiate action toward goals (“sense of agency”), and acting on goals. For each dimension, the paper reviews existing measurement approaches and what is known about their relative quality. The study concludes by highlighting that future research to improve the measurement of women’s agency should prioritize incorporating different contexts, age groups, and decision-making areas to ensure programming and policies are meaningful to the lives of women.","['gender', 'household', 'survey methodology', 'measurement error', 'agency', 'empowerment']",,"c8,j16,i32",200-226,0,0
48,Women’s Empowerment and Economic Development: A Feminist Critique of Storytelling Practices in “Randomista” Economics,"The 2019 Nobel Prize in economics was awarded to three scholars on the grounds that their pioneering use of randomized control trials (RCTs) was innovative methodologically and contributed to development policy and the emergence of a new development economics. Using a critical feminist lens, this article challenges that conclusion by interrogating the storytelling practices deployed by “randomista” economists through a critical reading of a widely cited essay by Esther Duflo, one of the 2019 Nobel recipients, on the relationship between women’s empowerment and economic development. The paper argues that the limitations of randomista economics have given rise to a particular way of thinking characterized by piecemeal analysis, ad hoc resort to theory, indifference to history and context, and methodological fundamentalism. It concludes that the randomista argument that broad-based economic development alone – without focused attention to women’s rights – will lead to gender equality has not been borne out by recent data.",['Naila Kabeer'],['/author/kabeer%2c+naila'],22622,18,"'empowerment', 'economic development', 'development'",[],Pages 1-26,13 May 2020,2,2020,26,,"The 2019 Nobel Prize in economics was awarded to three scholars on the grounds that their pioneering use of randomized control trials (RCTs) was innovative methodologically and contributed to development policy and the emergence of a new development economics. Using a critical feminist lens, this article challenges that conclusion by interrogating the storytelling practices deployed by “randomista” economists through a critical reading of a widely cited essay by Esther Duflo, one of the 2019 Nobel recipients, on the relationship between women’s empowerment and economic development. The paper argues that the limitations of randomista economics have given rise to a particular way of thinking characterized by piecemeal analysis, ad hoc resort to theory, indifference to history and context, and methodological fundamentalism. It concludes that the randomista argument that broad-based economic development alone – without focused attention to women’s rights – will lead to gender equality has not been borne out by recent data.","['empowerment', 'economic development', 'development']",,,1-26,1,0
49,Engendering Macroeconomic Theory and Policy,"Over the past two decades, economists have turned their attention to exploring the role of gender in the macroeconomy. This paper reviews the salient findings of that literature. Research shows that gender gaps in education, health, unpaid labor, employment, and wages have economy-wide consequences and influence the rate of growth. The effects are transmitted via both the supply side of the economy – principally through labor productivity – and the demand side – through business spending, exports, saving, and the balance of payments. In turn, a broad array of macro-level policies, including fiscal, monetary, and trade policies have differential effects by gender that, if unheeded, can undermine macro-policy goals. Their impact depends on the structure of the economy and the gender division of labor in paid and unpaid work. This survey makes clear that incorporation of gender into macro models improves the relevance of macroeconomic theory and can yield better policy results.",['Stephanie Seguino'],['/author/seguino%2c+stephanie'],1805,24,"'macroeconomics', 'gender differences', 'structural economics'","['E1', 'E5', 'F41']",Pages 27-61,28 May 2019,2,2020,26,,"Over the past two decades, economists have turned their attention to exploring the role of gender in the macroeconomy. This paper reviews the salient findings of that literature. Research shows that gender gaps in education, health, unpaid labor, employment, and wages have economy-wide consequences and influence the rate of growth. The effects are transmitted via both the supply side of the economy – principally through labor productivity – and the demand side – through business spending, exports, saving, and the balance of payments. In turn, a broad array of macro-level policies, including fiscal, monetary, and trade policies have differential effects by gender that, if unheeded, can undermine macro-policy goals. Their impact depends on the structure of the economy and the gender division of labor in paid and unpaid work. This survey makes clear that incorporation of gender into macro models improves the relevance of macroeconomic theory and can yield better policy results.","['macroeconomics', 'gender difference', 'structural economics']",,"e1,e5,f41",27-61,0,0
50,Drivers of Gendered Sectoral and Occupational Segregation in Developing Countries,"Occupational and sectoral segregation by gender is remarkably persistent and a major contributor to gender wage gaps. We investigate the determinants of aggregate occupational and sectoral segregation by gender in developing countries using a unique, household-survey-based aggregate cross-country database including sixty-nine countries between 1980 and 2011. Using two aggregate measures of segregation the study shows that occupational and sectoral segregation has increased over time in many countries. It finds that income levels have no impact on occupational or sectoral segregation; trade openness has little impact on sectoral segregation but increases occupational segregation. Rising female labor force participation is associated with falling sectoral but increasing occupational segregation; rising education levels tend to increase rather than decrease segregation. Income inequality is associated with rising segregation. While the overall effects of structural change are small and mostly insignificant, a high share of commerce and services is associated with lower overall segregation.","['Mary Borrowman', 'Stephan Klasen']","['/author/borrowman%2c+mary', '/author/klasen%2c+stephan']",2050,30,"'occupational segregation', 'sectoral segregation', 'gender', 'developing countries'","['J16', 'J24', 'J71']",Pages 62-94,16 Sep 2019,2,2020,26,,"Occupational and sectoral segregation by gender is remarkably persistent and a major contributor to gender wage gaps. We investigate the determinants of aggregate occupational and sectoral segregation by gender in developing countries using a unique, household-survey-based aggregate cross-country database including sixty-nine countries between 1980 and 2011. Using two aggregate measures of segregation the study shows that occupational and sectoral segregation has increased over time in many countries. It finds that income levels have no impact on occupational or sectoral segregation; trade openness has little impact on sectoral segregation but increases occupational segregation. Rising female labor force participation is associated with falling sectoral but increasing occupational segregation; rising education levels tend to increase rather than decrease segregation. Income inequality is associated with rising segregation. While the overall effects of structural change are small and mostly insignificant, a high share of commerce and services is associated with lower overall segregation.","['occupational segregation', 'sectoral segregation', 'gender', 'developing country']",,"j16,j24,j71",62-94,0,0
51,"Gendered Time, Seasonality, and Nutrition: Insights from Two Indian Districts","Some of the key pathways linking agriculture and nutrition run through women’s work, yet the evidence on these links are weak. Using time-use data from two Indian districts, this paper seeks to fill this gap. In principle, women’s agricultural work could have positive and negative implications for nutrition, through increased control over incomes or intensifying work burdens. The emerging evidence points to the nuanced ways in which social identity, seasonality, and context mediate women’s work in agriculture and consequently food intakes and feeding practices. Overall, women’s work in agriculture seems to have a negative effect on household nutrition through two pathways: lack of adequate time for care work in peak agricultural seasons, and seasonal energy deficits that adversely affect their own health. Recognition of women’s physical contributions to both agricultural production and domestic reproduction, and supporting them adequately, is central to improving nutritional outcomes.","['Nitya Rao', 'S. Raju']","['/author/rao%2c+nitya', '/author/raju%2c+s']",3461,15,"'gender', 'time', 'seasonality', 'nutrition', 'energy', 'india'",['J13'],Pages 95-125,15 Jul 2019,2,2020,26,,"Some of the key pathways linking agriculture and nutrition run through women’s work, yet the evidence on these links are weak. Using time-use data from two Indian districts, this paper seeks to fill this gap. In principle, women’s agricultural work could have positive and negative implications for nutrition, through increased control over incomes or intensifying work burdens. The emerging evidence points to the nuanced ways in which social identity, seasonality, and context mediate women’s work in agriculture and consequently food intakes and feeding practices. Overall, women’s work in agriculture seems to have a negative effect on household nutrition through two pathways: lack of adequate time for care work in peak agricultural seasons, and seasonal energy deficits that adversely affect their own health. Recognition of women’s physical contributions to both agricultural production and domestic reproduction, and supporting them adequately, is central to improving nutritional outcomes.","['gender', 'time', 'seasonality', 'nutrition', 'energy', 'india']",,j13,95-125,0,0
52,Female Headship and Women’s Work in Nepal,"Literature on household headship has, by and large, tended to homogenize female-headed households (FHHs). This study presents a mixed-methods approach disaggregating the experiences of female-headed households (FHHs) in the post-conflict period in Nepal. One of four households in Nepal is estimated to be headed by a woman, either due to conflict-related male deaths (de jure, or widow heads) or men's out-migration (de facto, or wives of migrants). The study examines similarities and differences in the work responsibilities and labor market participation of de jure and de facto female heads using quantitative data from the Nepal Living Standards Survey (NLSS) and qualitative data collected through fieldwork in Nepal. While both types of households share some similar concerns, de jure and de facto female heads face different challenges in negotiating their everyday household and labor market roles. Findings inform policy interventions that can be specifically targeted toward each type of household.","['Pratistha Joshi Rajkarnikar', 'Smita Ramnarain']","['/author/joshi+rajkarnikar%2c+pratistha', '/author/ramnarain%2c+smita']",544,1,"'gender', 'female headship', 'mixed methods', 'south asia'","['B54', 'B41', 'J16']",Pages 126-159,06 Dec 2019,2,2020,26,,"Literature on household headship has, by and large, tended to homogenize female-headed households (FHHs). This study presents a mixed-methods approach disaggregating the experiences of female-headed households (FHHs) in the post-conflict period in Nepal. One of four households in Nepal is estimated to be headed by a woman, either due to conflict-related male deaths (de jure, or widow heads) or men's out-migration (de facto, or wives of migrants). The study examines similarities and differences in the work responsibilities and labor market participation of de jure and de facto female heads using quantitative data from the Nepal Living Standards Survey (NLSS) and qualitative data collected through fieldwork in Nepal. While both types of households share some similar concerns, de jure and de facto female heads face different challenges in negotiating their everyday household and labor market roles. Findings inform policy interventions that can be specifically targeted toward each type of household.","['gender', 'female headship', 'mixed method', 'south asia']",,"b54,b41,j16",126-159,0,0
